,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,1.02k,39.1k,8,rs0,SEC,34:33.6,1,0,3,0,0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,500b,37.9k,8,rs0,SEC,34:34.6,1,0,2,0,0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,1.02k,39.1k,8,rs0,SEC,34:35.6,1,0,3,0,0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,500b,37.9k,8,rs0,SEC,34:36.6,1,0,2,0,0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,1.02k,39.2k,8,rs0,SEC,34:37.6,1,0,4,0,0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,500b,37.9k,8,rs0,SEC,34:38.6,1,0,2,0,0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,1.08k,39.8k,8,rs0,SEC,34:39.6,1,0,4,0,0,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,500b,37.9k,8,rs0,SEC,34:40.6,1,0,2,0,0,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,1.02k,39.1k,8,rs0,SEC,34:41.6,1,0,3,0,0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,107M,551b,38.1k,8,rs0,SEC,34:42.6,1,0,2,0,0,0
50,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0,1.84G,113M,481b,18.6k,8,rs0,SEC,34:44.7,1,0,1,0,0,5
51,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,1.84G,114M,302b,23.1k,8,rs0,SEC,34:46.4,1,0,1,0,0,7
52,0.0,0.0,41.0,0.0,0.0,0.0,0.1,0,1.85G,123M,526b,17.9k,8,rs0,SEC,34:48.8,1,0,2,0,0,16
53,0.0,0.0,51.0,0.0,0.0,0.1,0.2,0,1.85G,131M,733b,18.4k,8,rs0,SEC,34:51.2,2,0,2,0,0,16
54,0.0,0.0,33.0,0.0,0.0,0.1,0.2,0,1.86G,140M,291b,9.78k,8,rs0,SEC,34:55.7,1,0,1,0,0,16
55,0.0,0.0,90.0,0.0,0.0,0.1,0.3,0,1.87G,152M,649b,14.1k,8,rs0,SEC,34:59.6,2,0,2,0,0,13
56,0.0,0.0,68.0,0.0,0.0,0.2,0.4,0,1.89G,168M,572b,12.9k,8,rs0,SEC,35:03.6,1,0,2,0,0,16
57,0.0,0.0,42.0,0.0,0.0,0.3,0.5,0,1.90G,182M,414b,9.32k,8,rs0,SEC,35:09.2,2,0,1,0,0,16
58,0.0,0.0,71.0,0.0,0.0,0.3,0.6,0,1.92G,197M,462b,8.51k,8,rs0,SEC,35:15.8,2,0,1,0,0,16
59,0.0,0.0,89.0,0.0,0.0,0.4,0.7,0,1.93G,214M,622b,11.1k,8,rs0,SEC,35:21.5,2,0,2,0,0,16
60,0.0,0.0,70.0,0.0,0.0,0.5,0.9,0,1.95G,234M,483b,8.89k,8,rs0,SEC,35:27.9,1,0,2,0,0,16
61,0.0,0.0,64.0,0.0,0.0,0.1,1.0,1,1.97G,262M,393b,7.07k,8,rs0,SEC,35:36.4,2,0,1,0,0,16
62,0.0,0.0,96.0,0.0,0.0,0.2,1.2,0,1.99G,283M,563b,8.79k,8,rs0,SEC,35:44.2,1,0,2,0,0,16
63,0.0,0.0,171.0,0.0,0.0,0.3,1.3,0,2.01G,301M,866b,13.7k,8,rs0,SEC,35:49.0,1,0,3,0,0,16
64,0.0,0.0,73.0,0.0,0.0,0.5,1.5,0,2.04G,329M,450b,8.34k,8,rs0,SEC,35:55.7,2,0,1,0,0,16
65,0.0,0.0,79.0,0.0,0.0,0.6,1.6,0,2.05G,346M,349b,6.28k,8,rs0,SEC,36:05.3,1,1,1,0,0,15
66,0.0,0.0,172.0,0.0,0.0,0.7,1.8,0,2.08G,370M,823b,11.7k,8,rs0,SEC,36:11.5,1,0,3,0,0,16
67,0.0,0.0,79.0,0.0,0.0,0.9,2.0,0,2.12G,408M,366b,6.61k,8,rs0,SEC,36:20.5,1,0,1,0,0,16
68,0.0,0.0,93.0,0.0,0.0,1.0,2.2,0,2.14G,433M,374b,5.86k,8,rs0,SEC,36:32.1,2,0,1,0,0,16
