,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,320b,35.6k,6,rs0,SEC,33:46.1,1,0,1,0,0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,781b,36.1k,6,rs0,SEC,33:47.1,1,0,2,0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,263b,35.0k,6,rs0,SEC,33:48.1,1,0,1,0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,783b,36.2k,6,rs0,SEC,33:49.1,1,0,3,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,262b,35.0k,6,rs0,SEC,33:50.1,1,0,0,0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,781b,36.1k,6,rs0,SEC,33:51.1,1,0,2,0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,263b,35.0k,6,rs0,SEC,33:52.1,1,0,1,0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,782b,36.1k,6,rs0,SEC,33:53.1,1,0,2,0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,263b,35.0k,6,rs0,SEC,33:54.1,1,0,1,0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,842b,36.9k,6,rs0,SEC,33:55.1,1,0,4,0,0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,262b,34.9k,6,rs0,SEC,33:56.1,1,0,0,0,0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,781b,36.1k,6,rs0,SEC,33:57.1,1,0,2,0,0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,263b,35.0k,6,rs0,SEC,33:58.1,1,0,1,0,0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,782b,36.2k,6,rs0,SEC,33:59.1,1,0,2,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,262b,34.9k,6,rs0,SEC,34:00.1,1,0,0,0,0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,784b,36.2k,6,rs0,SEC,34:01.1,1,0,3,0,0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,263b,35.0k,6,rs0,SEC,34:02.1,1,0,1,0,0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,782b,36.1k,6,rs0,SEC,34:03.1,1,0,2,0,0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,263b,35.0k,6,rs0,SEC,34:04.1,1,0,1,0,0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,840b,36.9k,6,rs0,SEC,34:05.1,1,0,3,0,0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,262b,34.9k,6,rs0,SEC,34:06.1,1,0,0,0,0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,783b,36.2k,6,rs0,SEC,34:07.1,1,0,3,0,0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,108M,263b,35.0k,6,rs0,SEC,34:08.1,1,0,1,0,0,0
