usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,Start,repl8,repl9,rticket,wticket,ocursors,aconn,pf,memo,dd,bytescurrentused,readq,writeq,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time
15,3,82,0,0,0,20k,2508B,11k,0,0,2257,2422,11:30:47.398556222,0,0,1,0,1,808,291,103,5218430,406818,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,10.1k,428k,9,rs0,PRI,31:54.4,1,0,66,0,0,0,10,5520.0,16460.0,10940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T11:31:35Z,10,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.99G,210M,1.84k,36.5k,8,rs0,SEC,59:21.4,1,0,3,0,0,0,10,0.0,15098.0,15098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:15:58Z
13,3,84,0,0,0,0,2638B,10k,0,0,2087,2209,11:30:48.290802123,0,0,1,0,1,808,291,103,5218430,406818,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,10.5k,463k,8,rs0,PRI,31:55.4,1,0,68,0,0,0,11,4308.0,15353.0,11045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T11:31:36Z,11,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,523b,35.4k,8,rs0,SEC,59:22.4,1,0,2,0,0,0,11,0.0,14473.0,14473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:15:59Z
14,3,82,0,0,0,0,2310B,10k,0,0,2236,2300,11:30:49.187745429,0,0,1,0,1,808,291,103,5218430,406818,0,0,12,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0,1.99G,254M,16.2k,468k,8,rs0,PRI,31:56.4,1,0,74,0,0,0,12,5575.0,15861.0,10285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T11:31:37Z,12,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,1.69k,41.6k,10,rs0,SEC,59:23.4,1,0,7,0,0,0,12,0.0,8164.0,8164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:00Z
14,3,83,0,0,0,0,2308B,11k,0,0,2199,2273,11:30:50.081824632,0,0,1,0,1,808,291,103,5218430,406818,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,11.1k,433k,8,rs0,PRI,31:57.4,1,0,71,0,0,0,13,5825.0,16073.0,10247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T11:31:38Z,13,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,758b,38.6k,10,rs0,SEC,59:24.4,1,0,2,0,0,0,13,0.0,7164.0,7164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-26T18:16:01Z
14,4,83,0,0,0,68k,2178B,11k,0,0,2266,2406,11:30:50.979780456,0,0,1,0,1,808,291,103,5218430,406818,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,11.0k,434k,9,rs0,PRI,31:58.4,1,0,72,0,0,0,14,5639.0,16206.0,10567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-26T11:31:39Z,14,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,761b,38.8k,10,rs0,SEC,59:25.4,1,0,3,0,0,0,14,0.0,15195.0,15195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-26T18:16:02Z
16,3,81,0,0,0,0,2244B,11k,0,0,2158,2230,11:30:51.879044570,0,0,1,0,1,808,291,103,5218430,406818,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,11.2k,501k,8,rs0,PRI,31:59.4,1,0,73,0,0,0,15,6041.0,16724.0,10683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2019-11-26T11:31:40Z,15,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.99G,210M,3.38k,40.9k,10,rs0,SEC,59:26.4,1,0,4,0,0,0,15,0.0,6537.0,6537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-26T18:16:03Z
14,4,82,0,0,0,0,2572B,11k,0,0,2237,2310,11:30:52.775078678,0,0,1,0,1,808,291,103,5218430,406818,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,11.1k,501k,8,rs0,PRI,32:00.4,1,0,74,0,0,0,16,6241.0,14915.0,8673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2019-11-26T11:31:41Z,16,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:27.4,1,0,3,0,0,0,16,0.0,10628.0,10628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:04Z
15,3,82,0,0,0,0,2442B,11k,0,0,2174,2203,11:30:53.674032971,10000,0,1,0,1,808,291,103,5218430,407027,0,0,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.99G,254M,13.9k,505k,8,rs0,PRI,32:01.4,1,0,79,0,0,0,17,4178.0,12630.0,8452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2019-11-26T11:31:42Z,17,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:28.4,1,0,3,0,0,0,17,0.0,4112.0,4112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:05Z
15,3,82,0,0,0,0,2506B,11k,0,0,2265,2410,11:30:54.572977855,0,0,1,0,1,808,291,103,5218430,407027,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,11.1k,500k,8,rs0,PRI,32:02.4,1,0,73,0,0,0,18,5055.0,14007.0,8952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2019-11-26T11:31:43Z,18,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,760b,38.7k,10,rs0,SEC,59:29.4,1,0,3,0,0,0,18,0.0,11591.0,11591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26T18:16:06Z
15,3,81,0,0,0,124k,2574B,11k,0,0,2585,2960,11:30:55.471937971,0,0,1,0,1,808,291,103,5218430,407027,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.99G,254M,11.7k,504k,8,rs0,PRI,32:03.4,1,0,77,0,0,0,19,4233.0,16927.0,12693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2019-11-26T11:31:44Z,19,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.99G,210M,816b,39.3k,10,rs0,SEC,59:30.4,1,0,3,0,0,0,19,0.0,15482.0,15482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-26T18:16:07Z
