,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb
0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,321b,35.6k,6,rs0,SEC,59:15.9,1,0,2,0,0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,782b,36.1k,6,rs0,SEC,59:16.9,1,0,2,0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,263b,35.0k,6,rs0,SEC,59:17.9,1,0,1,0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.90k,41.6k,8,rs0,SEC,59:18.9,1,0,7,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,557b,38.8k,8,rs0,SEC,59:19.9,1,0,2,0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.02k,39.4k,8,rs0,SEC,59:20.9,1,0,4,0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,499b,38.1k,8,rs0,SEC,59:21.9,1,0,1,0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.02k,39.4k,8,rs0,SEC,59:22.9,1,0,3,0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,499b,38.1k,8,rs0,SEC,59:23.9,1,0,1,0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.08k,40.1k,8,rs0,SEC,59:24.9,1,0,4,0,0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,499b,38.1k,8,rs0,SEC,59:25.9,1,0,1,0,0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.02k,39.5k,8,rs0,SEC,59:26.9,1,0,4,0,0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,500b,38.1k,8,rs0,SEC,59:27.9,1,0,2,0,0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.08k,40.0k,8,rs0,SEC,59:28.9,1,0,4,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,501b,38.2k,8,rs0,SEC,59:29.9,1,0,2,0,0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.02k,39.3k,8,rs0,SEC,59:30.9,1,0,3,0,0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,500b,38.2k,8,rs0,SEC,59:31.9,1,0,2,0,0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.02k,39.4k,8,rs0,SEC,59:32.9,1,0,4,0,0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,500b,38.1k,8,rs0,SEC,59:33.9,1,0,2,0,0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.08k,40.1k,8,rs0,SEC,59:34.9,1,0,4,0,0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,500b,38.1k,8,rs0,SEC,59:35.9,1,0,2,0,0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.02k,39.4k,8,rs0,SEC,59:36.9,1,0,4,0,0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,499b,38.1k,8,rs0,SEC,59:37.9,1,0,1,0,0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.08k,40.1k,8,rs0,SEC,59:38.9,1,0,5,0,0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,499b,38.1k,8,rs0,SEC,59:39.9,1,0,1,0,0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.02k,39.4k,8,rs0,SEC,59:40.9,1,0,4,0,0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,499b,38.1k,8,rs0,SEC,59:41.9,1,0,1,0,0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.02k,39.4k,8,rs0,SEC,59:42.9,1,0,4,0,0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,499b,38.1k,8,rs0,SEC,59:43.9,1,0,1,0,0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.08k,40.1k,8,rs0,SEC,59:44.9,1,0,4,0,0,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,499b,38.1k,8,rs0,SEC,59:45.9,1,0,1,0,0,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.02k,39.4k,8,rs0,SEC,59:46.9,1,0,4,0,0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,500b,38.2k,8,rs0,SEC,59:47.9,1,0,2,0,0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.94G,209M,1.08k,40.1k,8,rs0,SEC,59:48.9,1,0,4,0,0,0
