usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,
15,3,82,0,0,0,20k,2574B,11k,0,0,2248,2361
14,3,83,0,0,0,340k,2572B,11k,0,0,2309,2397
15,3,82,0,0,0,8192B,2376B,11k,0,0,2218,2314
15,3,81,0,0,0,0,2374B,11k,0,0,2201,2281
15,4,81,0,0,0,0,2376B,11k,0,0,2307,2438
14,3,82,0,0,0,0,3224B,12k,0,0,2269,2368
14,4,82,0,0,0,32k,2572B,10k,0,0,2263,2374
14,3,83,0,0,4096B,32k,2442B,12k,0,0,2289,2351
13,4,82,0,0,0,0,2696B,11k,0,0,2297,2354
14,4,82,0,0,0,112k,2376B,11k,0,0,2487,2846
15,3,82,0,0,0,20k,2508B,11k,0,0,2257,2422
13,3,84,0,0,0,0,2638B,10k,0,0,2087,2209
14,3,82,0,0,0,0,2310B,10k,0,0,2236,2300
14,3,83,0,0,0,0,2308B,11k,0,0,2199,2273
14,4,83,0,0,0,68k,2178B,11k,0,0,2266,2406
16,3,81,0,0,0,0,2244B,11k,0,0,2158,2230
14,4,82,0,0,0,0,2572B,11k,0,0,2237,2310
15,3,82,0,0,0,0,2442B,11k,0,0,2174,2203
15,3,82,0,0,0,0,2506B,11k,0,0,2265,2410
15,3,81,0,0,0,124k,2574B,11k,0,0,2585,2960
15,3,82,0,0,0,24k,2572B,11k,0,0,2237,2380
14,4,82,0,0,0,0,2442B,11k,0,0,2275,2315
14,4,82,0,0,0,16k,2442B,11k,0,0,2326,2440
15,3,82,0,0,0,0,2440B,11k,0,0,2152,2184
15,3,82,0,0,0,60k,2376B,11k,0,0,2253,2400
15,3,83,0,0,0,0,2638B,11k,0,0,2197,2302
14,3,84,0,0,0,0,2574B,10k,0,0,2157,2267
13,3,83,0,0,0,136k,2310B,10k,0,0,2179,2211
14,4,82,0,0,0,0,2374B,11k,0,0,2274,2473
14,4,82,0,0,0,124k,2574B,11k,0,0,2487,2822
14,4,82,0,0,0,24k,2638B,11k,0,0,2258,2321
14,4,82,0,0,0,0,2442B,11k,0,0,2266,2316
14,3,82,0,0,0,40k,2508B,11k,0,0,2280,2298
14,4,82,0,0,176k,0,2704B,11k,0,0,2306,2351
14,4,82,0,0,108k,0,2310B,11k,0,0,2408,2617
17,8,74,0,0,152k,56k,44k,72k,0,0,2655,268k
16,5,4,75,0,6056k,348k,70k,179k,0,0,6230,10k
16,4,1,79,0,4664k,188k,35k,157k,0,0,4697,5963
15,4,1,80,0,4328k,176k,47k,161k,0,0,4638,5843
15,5,0,81,0,4620k,208k,38k,157k,0,0,4038,4612
16,4,1,79,0,4656k,116k,40k,165k,0,0,3917,4414
18,4,0,79,0,4460k,120k,40k,155k,0,0,3775,4215
16,4,4,75,0,4612k,140k,52k,181k,0,0,4142,4738
16,4,3,77,0,4576k,92k,43k,146k,0,0,3793,4400
16,4,0,79,0,4856k,92k,25k,145k,0,0,3764,4306
15,4,10,71,0,4748k,132k,52k,172k,0,0,3745,4023
14,4,0,81,0,4704k,132k,26k,141k,0,0,3732,4296
15,3,3,79,0,4940k,100k,42k,169k,0,0,3711,4116
15,4,1,80,0,4844k,100k,43k,152k,0,0,3527,3802
17,4,1,78,0,4912k,200k,40k,169k,0,0,3811,4363
16,4,5,76,0,4816k,104k,34k,155k,0,0,3751,4251
17,4,0,79,0,5076k,84k,44k,157k,0,0,3630,3907
16,4,2,78,0,5168k,104k,45k,181k,0,0,3884,4440
16,4,2,78,0,4784k,156k,56k,170k,0,0,3884,4358
15,4,0,81,0,5224k,88k,38k,165k,0,0,3845,4253
17,4,0,79,0,5880k,2256k,41k,157k,0,0,3702,4144
17,4,8,70,0,5268k,344k,48k,181k,0,0,3679,4034
17,4,0,80,0,5100k,228k,30k,150k,0,0,3553,3937
13,4,1,82,0,5536k,440k,52k,180k,0,0,3622,4143
16,4,0,80,0,5504k,312k,47k,172k,0,0,3891,4345
16,3,5,75,0,5256k,340k,39k,182k,0,0,3772,4118
17,4,1,78,0,6416k,300k,60k,201k,0,0,3923,4180
16,4,0,80,0,5144k,636k,47k,179k,0,0,4258,4545
14,4,0,82,0,5416k,332k,46k,191k,0,0,3993,4507
13,3,0,84,0,5428k,352k,46k,186k,0,0,3634,4117
14,3,0,83,0,5672k,300k,54k,191k,0,0,3947,4555
14,3,0,82,0,5448k,492k,46k,190k,0,0,3658,3978
15,4,0,81,0,5580k,428k,56k,202k,0,0,4226,4831
15,4,0,81,0,5444k,236k,52k,184k,0,0,3775,4075
16,4,0,80,0,5396k,292k,36k,162k,0,0,3833,4335
11,4,0,85,0,5512k,212k,33k,156k,0,0,3457,4037
16,3,0,81,0,5520k,344k,47k,174k,0,0,3642,3922
14,3,0,83,0,5620k,320k,49k,196k,0,0,3726,4200
15,4,3,78,0,5608k,428k,69k,212k,0,0,4178,4817
15,4,5,76,0,5624k,540k,39k,166k,0,0,3784,4193
12,3,0,85,0,5864k,328k,38k,170k,0,0,3308,3631
16,4,0,81,0,5136k,732k,34k,177k,0,0,3862,4418
7,2,0,91,0,5616k,216k,47k,184k,0,0,2983,3563
16,4,3,78,0,5900k,576k,57k,183k,0,0,4045,4513
16,4,3,77,0,4912k,7756k,46k,143k,0,0,3865,4450
16,4,2,78,0,5628k,2496k,43k,177k,0,0,4106,4810
16,4,0,80,0,5724k,788k,35k,172k,0,0,3828,4291
17,4,0,80,0,5936k,648k,41k,195k,0,0,3999,4558
16,4,0,80,0,6316k,276k,60k,191k,0,0,3709,3900
9,3,0,88,0,5996k,380k,62k,215k,0,0,3260,3609
17,4,1,78,0,5796k,1504k,38k,170k,0,0,4007,4562
16,3,0,80,0,5736k,1228k,37k,169k,0,0,3940,4495
15,4,0,80,0,5724k,196k,35k,186k,0,0,3859,4334
11,2,0,86,0,6028k,192k,49k,190k,0,0,3358,3848
15,4,0,81,0,5836k,240k,45k,175k,0,0,3811,4094
15,4,0,81,0,6136k,304k,45k,199k,0,0,3973,4492
12,3,0,85,0,6144k,356k,62k,199k,0,0,3669,4056
14,4,0,81,0,6072k,352k,58k,219k,0,0,4120,4646
15,4,1,80,0,5952k,604k,67k,228k,0,0,4058,4507
