usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,
5,1,92,3,0,461k,3291k,0,0,0,0,801,2481
1,0,99,0,0,0,124k,54B,0,0,0,225,350
0,0,100,0,0,0,0,0,0,0,0,265,430
0,0,100,0,0,0,0,0,0,0,0,191,306
4,1,95,0,0,0,0,592B,2868B,0,0,756,828
14,4,82,0,0,0,100k,2258B,9860B,0,0,2150,2206
14,4,82,0,0,0,0,2440B,10k,0,0,1949,1773
14,4,80,1,0,520k,0,3206B,12k,0,0,2252,2170
15,4,81,0,0,0,0,2242B,9746B,0,0,2024,1877
15,4,82,0,0,0,0,2310B,10k,0,0,2034,1903
15,4,81,0,0,76k,0,2916B,11k,0,0,2298,2460
14,4,81,0,0,0,104k,2376B,10k,0,0,2065,1999
14,4,82,0,0,0,0,2242B,10k,0,0,2181,2150
15,5,81,0,0,0,0,2298B,10k,0,0,2045,1872
14,5,78,3,0,1756k,0,3060B,12k,0,0,2381,2431
14,5,82,0,0,0,12k,2310B,9972B,0,0,2432,2587
14,4,82,0,0,0,108k,2112B,9760B,0,0,1985,1980
16,4,81,0,0,80k,0,2966B,12k,0,0,2218,2305
14,4,82,0,0,0,0,2178B,10k,0,0,2105,2185
14,4,82,0,0,0,0,2374B,9812B,0,0,2079,1979
15,5,81,0,0,0,0,2572B,12k,0,0,2300,2474
15,4,81,0,0,0,108k,2310B,9972B,0,0,2119,2077
13,4,82,0,0,0,72k,2176B,10k,0,0,2144,2174
14,4,82,0,0,0,0,2178B,9632B,0,0,2006,1944
14,5,81,0,0,0,0,2112B,11k,0,0,2149,2244
14,4,82,0,0,0,12k,2440B,9812B,0,0,2340,2560
15,4,81,0,0,0,684k,2244B,10k,0,0,2347,2538
14,3,82,0,0,0,0,2374B,10k,0,0,2087,2142
14,5,81,0,0,0,0,2770B,11k,0,0,2377,2539
13,4,83,0,0,0,0,2178B,10k,0,0,2114,2122
13,4,83,0,0,0,0,2242B,10k,0,0,2253,2416
15,4,81,0,0,0,108k,2046B,9874B,0,0,2202,2233
14,4,82,0,0,0,0,2286B,10k,0,0,2148,2246
14,4,82,0,0,0,4096B,2374B,9812B,0,0,2022,2037
15,4,82,0,0,0,0,1914B,10k,0,0,2242,2447
14,4,82,0,0,0,92k,2506B,9812B,0,0,2420,2737
14,4,82,0,0,0,0,2376B,9746B,0,0,2170,2252
14,4,82,0,0,0,0,2112B,10k,0,0,2131,2277
14,4,82,0,0,0,4096B,2242B,10k,0,0,2130,2245
15,4,81,0,0,0,0,2178B,10k,0,0,2236,2247
15,5,81,0,0,0,20k,2112B,10k,0,0,2317,2501
15,4,81,0,0,0,72k,2440B,9812B,0,0,2152,2064
13,5,82,0,0,0,0,2960B,11k,0,0,2153,2227
14,4,81,0,0,0,220k,2244B,9746B,0,0,2241,2185
14,4,82,0,0,0,0,2308B,10k,0,0,2238,2381
14,5,81,0,0,0,96k,2046B,9746B,0,0,2397,2693
15,4,81,0,0,0,0,2308B,10k,0,0,2181,2326
14,4,82,0,0,0,0,2376B,9746B,0,0,2108,2156
14,4,82,0,0,0,64k,2112B,10k,0,0,2131,2243
15,4,81,0,0,0,0,2374B,9812B,0,0,2100,2117
14,4,82,0,0,0,20k,2112B,10k,0,0,2168,2332
14,4,81,0,0,0,76k,2112B,9746B,0,0,2108,2126
14,4,81,0,0,0,0,2110B,10k,0,0,2210,2290
13,5,82,0,0,0,32k,2310B,9746B,0,0,2057,2010
15,4,81,0,0,0,0,2310B,10k,0,0,2157,2226
15,4,81,0,0,0,88k,2242B,9746B,0,0,2463,2769
15,5,81,0,0,0,0,2286B,10k,0,0,2194,2306
14,4,82,0,0,0,0,2374B,9812B,0,0,2082,2081
14,4,82,0,0,0,112k,2310B,10k,0,0,2218,2330
15,4,82,0,0,0,0,2178B,10k,0,0,2048,2101
14,4,82,0,0,0,20k,2440B,9698B,0,0,2267,2358
14,4,81,0,0,0,80k,2046B,10k,0,0,2123,2204
14,4,81,0,0,0,0,2244B,9746B,0,0,2216,2210
13,5,81,0,0,0,8192B,2440B,10k,0,0,2199,2200
15,4,81,0,0,0,0,2244B,10k,0,0,2236,2303
14,4,82,0,0,0,92k,2440B,9698B,0,0,2407,2686
15,4,80,0,0,0,0,2178B,10k,0,0,2347,2380
14,4,82,0,0,0,0,2878B,11k,0,0,2129,2187
15,4,81,0,0,0,8192B,2308B,10k,0,0,2231,2297
15,4,80,0,0,0,0,2376B,10k,0,0,2200,2195
14,4,81,0,0,0,20k,2178B,10k,0,0,2280,2368
14,4,82,0,0,0,80k,2308B,9812B,0,0,2081,2144
14,4,82,0,0,0,0,2220B,10k,0,0,2200,2265
14,4,82,0,0,0,0,2308B,10k,0,0,2070,2056
15,4,81,0,0,0,20k,2178B,9632B,0,0,2163,2268
14,5,81,0,0,0,12k,18k,11k,0,0,2562,2898
14,3,83,0,0,0,96k,2176B,10k,0,0,2155,2253
15,4,82,0,0,0,0,2178B,9972B,0,0,2123,2170
15,3,82,0,0,0,0,2178B,9746B,0,0,2158,2199
14,5,82,0,0,0,200k,2374B,10k,0,0,2108,2213
16,4,81,0,0,0,0,2046B,10k,0,0,2279,2395
15,4,81,0,0,0,112k,2310B,9972B,0,0,2122,2176
15,5,80,0,0,0,0,2374B,10k,0,0,2217,2303
21,6,71,2,0,0,3508k,602k,97k,0,0,8454,14k
49,16,28,6,0,0,21M,5023k,380k,0,0,37k,69k
57,17,20,5,0,0,27M,7738k,452k,0,0,37k,72k
65,18,13,4,0,4096B,37M,11M,428k,0,0,35k,64k
52,15,12,21,0,0,130M,20M,261k,0,0,25k,52k
76,17,6,1,0,0,65M,28M,188k,0,0,25k,49k
78,18,3,1,0,0,82M,29M,176k,0,0,23k,49k
77,19,3,1,0,4096B,74M,30M,116k,0,0,21k,54k
77,19,4,1,0,4096B,76M,30M,79k,0,0,16k,44k
78,18,3,1,0,4096B,80M,31M,62k,0,0,15k,45k
79,16,4,1,0,0,79M,28M,54k,0,0,16k,51k
79,17,4,1,0,4096B,77M,27M,48k,0,0,16k,53k
80,15,4,1,0,0,76M,27M,46k,0,0,15k,49k
78,17,4,1,0,8192B,75M,26M,44k,0,0,15k,50k
79,16,3,1,0,4096B,74M,26M,44k,0,0,15k,51k
79,17,3,1,0,0,75M,27M,43k,0,0,15k,61k
79,18,3,1,0,0,78M,28M,49k,0,0,14k,48k
79,18,2,1,0,4096B,68M,24M,39k,0,0,14k,65k
82,16,2,1,0,8192B,68M,24M,41k,0,0,12k,69k
81,17,2,1,0,0,67M,24M,40k,0,0,12k,77k
78,20,2,1,0,0,61M,23M,40k,0,0,11k,55k
78,18,2,1,0,0,65M,21M,38k,0,0,11k,78k
78,19,2,1,0,0,66M,24M,42k,0,0,11k,87k
78,18,3,1,0,12k,72M,25M,43k,0,0,15k,55k
79,17,4,1,0,0,70M,24M,40k,0,0,16k,50k
80,16,3,1,0,0,75M,27M,47k,0,0,14k,44k
77,20,2,1,0,0,69M,24M,39k,0,0,14k,65k
80,17,2,1,0,8192B,67M,24M,41k,0,0,14k,44k
83,15,2,1,0,4096B,66M,24M,39k,0,0,13k,63k
