,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,320b,35.7k,6,rs0,SEC,02:45.5,1,0,1,0,0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,781b,36.2k,6,rs0,SEC,02:46.5,1,0,2,0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,263b,35.1k,6,rs0,SEC,02:47.5,1,0,1,0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,782b,36.2k,6,rs0,SEC,02:48.5,1,0,2,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,263b,35.0k,6,rs0,SEC,02:49.5,1,0,1,0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,783b,36.3k,6,rs0,SEC,02:50.5,1,0,3,0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,262b,35.0k,6,rs0,SEC,02:51.5,1,0,0,0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,783b,36.2k,6,rs0,SEC,02:52.5,1,0,3,0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,262b,35.0k,6,rs0,SEC,02:53.5,1,0,0,0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,842b,37.0k,6,rs0,SEC,02:54.5,1,0,4,0,0,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,262b,35.0k,6,rs0,SEC,02:55.5,1,0,0,0,0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,784b,36.3k,6,rs0,SEC,02:56.5,1,0,3,0,0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,1.43k,41.0k,8,rs0,SEC,02:57.5,1,0,7,0,0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,1.08k,39.8k,8,rs0,SEC,02:58.5,1,0,4,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,500b,38.0k,8,rs0,SEC,02:59.5,1,0,2,0,0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.83G,106M,1.02k,39.2k,8,rs0,SEC,03:00.5,1,0,3,0,0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,554b,38.7k,8,rs0,SEC,03:01.5,1,0,2,0,0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,1.02k,39.2k,8,rs0,SEC,03:02.5,1,0,3,0,0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,500b,38.0k,8,rs0,SEC,03:03.5,1,0,2,0,0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,1.08k,39.9k,8,rs0,SEC,03:04.5,1,0,4,0,0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,500b,38.0k,8,rs0,SEC,03:05.5,1,0,2,0,0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,1.02k,39.1k,8,rs0,SEC,03:06.5,1,0,3,0,0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,557b,38.6k,8,rs0,SEC,03:07.5,1,0,2,0,0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,1.02k,39.2k,8,rs0,SEC,03:08.5,1,0,4,0,0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,499b,38.0k,8,rs0,SEC,03:09.5,1,0,1,0,0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,1.02k,39.1k,8,rs0,SEC,03:10.5,1,0,3,0,0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,500b,38.0k,8,rs0,SEC,03:11.5,1,0,2,0,0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,1.02k,39.1k,8,rs0,SEC,03:12.5,1,0,3,0,0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,500b,38.0k,8,rs0,SEC,03:13.5,1,0,2,0,0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,1.08k,39.9k,8,rs0,SEC,03:14.5,1,0,5,0,0,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.83G,106M,499b,37.9k,8,rs0,SEC,03:15.5,1,0,1,0,0,0
