ns,total,read,write,time
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:10Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:10Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:10Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:10Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:10Z
ycsb.usertable,16565ms,5531ms,11033ms,2019-11-27T12:51:11Z
local.oplog.rs,10ms,10ms,0ms,2019-11-27T12:51:11Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:11Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:11Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:11Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:11Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:11Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:11Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:11Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:11Z
ycsb.usertable,23400ms,6736ms,16663ms,2019-11-27T12:51:12Z
local.oplog.rs,9ms,9ms,0ms,2019-11-27T12:51:12Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:12Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:12Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:12Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:12Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:12Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:12Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:12Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:12Z
ycsb.usertable,16703ms,4652ms,12051ms,2019-11-27T12:51:13Z
local.oplog.rs,8ms,8ms,0ms,2019-11-27T12:51:13Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:13Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:13Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:13Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:13Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:13Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:13Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:13Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:13Z
ycsb.usertable,17058ms,454ms,16604ms,2019-11-27T12:51:15Z
local.oplog.rs,5ms,5ms,0ms,2019-11-27T12:51:15Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:15Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:15Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:15Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:15Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:15Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:15Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:15Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:15Z
ycsb.usertable,19473ms,6512ms,12960ms,2019-11-27T12:51:16Z
local.oplog.rs,5ms,5ms,0ms,2019-11-27T12:51:16Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:16Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:16Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:16Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:16Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:16Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:16Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:16Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:16Z
ycsb.usertable,19038ms,5157ms,13880ms,2019-11-27T12:51:17Z
local.oplog.rs,12ms,12ms,0ms,2019-11-27T12:51:17Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:17Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:17Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:17Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:17Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:17Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:17Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:17Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:17Z
ycsb.usertable,15719ms,5104ms,10615ms,2019-11-27T12:51:18Z
local.oplog.rs,5ms,5ms,0ms,2019-11-27T12:51:18Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:18Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:18Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:18Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:18Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:18Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:18Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:18Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:18Z
ycsb.usertable,15737ms,4491ms,11245ms,2019-11-27T12:51:19Z
local.oplog.rs,15ms,15ms,0ms,2019-11-27T12:51:19Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:19Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:19Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:19Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:19Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:19Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:19Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:19Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:19Z
ycsb.usertable,22301ms,6176ms,16125ms,2019-11-27T12:51:20Z
local.oplog.rs,11ms,11ms,0ms,2019-11-27T12:51:20Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:20Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:20Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:20Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:20Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:20Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:20Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:20Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:20Z
ycsb.usertable,15390ms,3570ms,11820ms,2019-11-27T12:51:21Z
local.oplog.rs,5ms,5ms,0ms,2019-11-27T12:51:21Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:21Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:21Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:21Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:21Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:21Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:21Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:21Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:21Z
ycsb.usertable,15896ms,4511ms,11384ms,2019-11-27T12:51:22Z
local.oplog.rs,9ms,9ms,0ms,2019-11-27T12:51:22Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:22Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:22Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:22Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:22Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:22Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:22Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:22Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:22Z
ycsb.usertable,23334ms,3379ms,19954ms,2019-11-27T12:51:24Z
local.oplog.rs,13ms,13ms,0ms,2019-11-27T12:51:24Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:24Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:24Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:24Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:24Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:24Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:24Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:24Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:24Z
ycsb.usertable,16558ms,4542ms,12016ms,2019-11-27T12:51:25Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:51:25Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:25Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:25Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:25Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:25Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:25Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:25Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:25Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:25Z
ycsb.usertable,15876ms,4509ms,11366ms,2019-11-27T12:51:26Z
local.oplog.rs,14ms,14ms,0ms,2019-11-27T12:51:26Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:26Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:26Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:26Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:26Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:26Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:26Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:26Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:26Z
ycsb.usertable,15303ms,4999ms,10304ms,2019-11-27T12:51:27Z
local.oplog.rs,5ms,5ms,0ms,2019-11-27T12:51:27Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:27Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:27Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:27Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:27Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:27Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:27Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:27Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:27Z
ycsb.usertable,15467ms,4197ms,11269ms,2019-11-27T12:51:28Z
local.oplog.rs,15ms,15ms,0ms,2019-11-27T12:51:28Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:28Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:28Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:28Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:28Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:28Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:28Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:28Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:28Z
ycsb.usertable,16345ms,5157ms,11187ms,2019-11-27T12:51:29Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:51:29Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:29Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:29Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:29Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:29Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:29Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:29Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:29Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:29Z
ycsb.usertable,16316ms,4626ms,11689ms,2019-11-27T12:51:30Z
local.oplog.rs,17ms,17ms,0ms,2019-11-27T12:51:30Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:30Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:30Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:30Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:30Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:30Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:30Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:30Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:30Z
ycsb.usertable,16163ms,6351ms,9811ms,2019-11-27T12:51:31Z
local.oplog.rs,11ms,11ms,0ms,2019-11-27T12:51:31Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:31Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:31Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:31Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:31Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:31Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:31Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:31Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:31Z
ycsb.usertable,16410ms,5410ms,11000ms,2019-11-27T12:51:32Z
local.oplog.rs,5ms,5ms,0ms,2019-11-27T12:51:32Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:32Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:32Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:32Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:32Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:32Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:32Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:32Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:32Z
ycsb.usertable,15703ms,5959ms,9744ms,2019-11-27T12:51:33Z
local.oplog.rs,10ms,10ms,0ms,2019-11-27T12:51:33Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:33Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:33Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:33Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:33Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:33Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:33Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:33Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:33Z
ycsb.usertable,16227ms,5570ms,10657ms,2019-11-27T12:51:34Z
local.oplog.rs,4ms,4ms,0ms,2019-11-27T12:51:34Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:34Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:34Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:34Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:34Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:34Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:34Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:34Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:34Z
ycsb.usertable,14841ms,3422ms,11419ms,2019-11-27T12:51:35Z
local.oplog.rs,13ms,13ms,0ms,2019-11-27T12:51:35Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:35Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:35Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:35Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:35Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:35Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:35Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:35Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:35Z
ycsb.usertable,8348ms,2777ms,5571ms,2019-11-27T12:51:36Z
local.oplog.rs,11ms,11ms,0ms,2019-11-27T12:51:36Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:36Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:36Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:36Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:36Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:36Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:36Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:36Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:36Z
ycsb.usertable,27138ms,4306ms,22831ms,2019-11-27T12:51:37Z
local.oplog.rs,3ms,3ms,0ms,2019-11-27T12:51:37Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:37Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:37Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:37Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:37Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:37Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:37Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:37Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:37Z
ycsb.usertable,16013ms,4165ms,11848ms,2019-11-27T12:51:38Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:51:38Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:38Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:38Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:38Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:38Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:38Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:38Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:38Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:38Z
ycsb.usertable,4906ms,1471ms,3435ms,2019-11-27T12:51:39Z
local.oplog.rs,17ms,17ms,0ms,2019-11-27T12:51:39Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:39Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:39Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:39Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:39Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:39Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:39Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:39Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:39Z
ycsb.usertable,26710ms,4810ms,21899ms,2019-11-27T12:51:40Z
local.oplog.rs,7ms,7ms,0ms,2019-11-27T12:51:40Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:40Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:40Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:40Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:40Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:40Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:40Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:40Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:40Z
ycsb.usertable,12293ms,5249ms,7043ms,2019-11-27T12:51:41Z
local.oplog.rs,10ms,10ms,0ms,2019-11-27T12:51:41Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:41Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:41Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:41Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:41Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:41Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:41Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:41Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:41Z
ycsb.usertable,16788ms,4860ms,11927ms,2019-11-27T12:51:42Z
local.oplog.rs,8ms,8ms,0ms,2019-11-27T12:51:42Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:42Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:42Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:42Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:42Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:42Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:42Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:42Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:42Z
ycsb.usertable,16032ms,6327ms,9705ms,2019-11-27T12:51:43Z
local.oplog.rs,8ms,8ms,0ms,2019-11-27T12:51:43Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:43Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:43Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:43Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:43Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:43Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:43Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:43Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:43Z
ycsb.usertable,15257ms,4163ms,11093ms,2019-11-27T12:51:44Z
local.oplog.rs,4ms,4ms,0ms,2019-11-27T12:51:44Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:44Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:44Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:44Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:44Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:44Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:44Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:44Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:44Z
ycsb.usertable,15174ms,4151ms,11022ms,2019-11-27T12:51:45Z
local.oplog.rs,12ms,12ms,0ms,2019-11-27T12:51:45Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:45Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:45Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:45Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:45Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:45Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:45Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:45Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:45Z
ycsb.usertable,16307ms,4498ms,11808ms,2019-11-27T12:51:46Z
local.oplog.rs,10ms,10ms,0ms,2019-11-27T12:51:46Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:46Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:46Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:46Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:46Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:46Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:46Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:46Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:46Z
ycsb.usertable,14787ms,5112ms,9674ms,2019-11-27T12:51:47Z
local.oplog.rs,12ms,12ms,0ms,2019-11-27T12:51:47Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:47Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:47Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:47Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:47Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:47Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:47Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:47Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:47Z
ycsb.usertable,17163ms,4422ms,12740ms,2019-11-27T12:51:48Z
local.oplog.rs,7ms,7ms,0ms,2019-11-27T12:51:48Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:48Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:48Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:48Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:48Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:48Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:48Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:48Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:48Z
ycsb.usertable,15882ms,5882ms,9999ms,2019-11-27T12:51:49Z
local.oplog.rs,2ms,2ms,0ms,2019-11-27T12:51:49Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:49Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:49Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:49Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:49Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:49Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:49Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:49Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:49Z
ycsb.usertable,15698ms,4499ms,11198ms,2019-11-27T12:51:50Z
local.oplog.rs,14ms,14ms,0ms,2019-11-27T12:51:50Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:50Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:50Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:50Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:50Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:50Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:50Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:50Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:51:50Z
ycsb.usertable,15780ms,4771ms,11008ms,2019-11-27T12:51:51Z
local.oplog.rs,9ms,9ms,0ms,2019-11-27T12:51:51Z
admin.$cmd.aggregate,0ms,0ms,0ms,2019-11-27T12:51:51Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:51:51Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:51:51Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:51:51Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:51:51Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:51:51Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:51:51Z
