insert,query,update,delete,getmore,command,dirty,used,flushes,vsize,res,qrw,arw,net_in,net_out,conn,set,repl,time
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,558b,38.9k,10,rs0,SEC,47:46.1
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,1.08k,40.0k,10,rs0,SEC,47:47.1
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,500b,38.2k,10,rs0,SEC,47:48.1
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,1.02k,39.3k,10,rs0,SEC,47:49.1
*0,*0,*0,*0,2,4|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,3.13k,40.4k,10,rs0,SEC,47:50.1
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,1.02k,39.4k,10,rs0,SEC,47:51.1
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,500b,38.2k,10,rs0,SEC,47:52.1
*0,*0,*0,*0,0,5|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,1.08k,40.1k,10,rs0,SEC,47:53.1
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,499b,38.1k,10,rs0,SEC,47:54.1
*0,*0,*0,*0,1,6|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,2.40k,41.2k,10,rs0,SEC,47:55.1
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,499b,38.1k,10,rs0,SEC,47:56.1
*0,*0,*0,*0,0,5|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,1.08k,40.1k,10,rs0,SEC,47:57.1
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,499b,38.1k,10,rs0,SEC,47:58.1
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,1.02k,39.4k,10,rs0,SEC,47:59.1
*0,*0,*0,*0,2,5|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,4.07k,40.8k,10,rs0,SEC,48:00.1
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,1.02k,39.4k,10,rs0,SEC,48:01.1
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,499b,38.1k,10,rs0,SEC,48:02.1
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,1.02k,39.4k,10,rs0,SEC,48:03.1
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.96G,190M,0|0,1|0,500b,38.2k,10,rs0,SEC,48:04.1
*0,*0,*164,*0,25,25|0,0.00%,0.60%,0,1.96G,195M,0|3,1|0,30.6k,104k,10,rs0,SEC,48:05.4
*0,*0,*152,*0,6,7|0,0.10%,0.70%,0,1.96G,206M,0|8,2|0,8.05k,62.6k,10,rs0,SEC,48:06.8
*0,*0,*169,*0,2,9|0,0.10%,0.70%,0,1.99G,210M,0|2,2|0,6.61k,97.3k,10,rs0,SEC,48:07.9
*0,*0,*180,*0,4,6|0,0.10%,0.70%,0,1.99G,218M,0|2,2|0,6.71k,99.7k,10,rs0,SEC,48:08.9
*0,*0,*329,*0,5,7|0,0.20%,0.80%,0,1.99G,227M,0|1,2|0,5.77k,149k,10,rs0,SEC,48:09.7
*0,*0,*423,*0,7,10|0,0.20%,0.90%,0,1.99G,235M,0|2,3|0,10.5k,172k,10,rs0,SEC,48:10.2
*0,*0,*130,*0,1,3|0,0.30%,0.90%,0,2.00G,248M,0|15,2|0,2.63k,70.8k,10,rs0,SEC,48:12.6
*0,*0,*229,*0,2,6|0,0.30%,1.00%,0,2.03G,259M,0|9,2|0,5.12k,116k,10,rs0,SEC,48:13.7
*0,*0,*199,*0,1,3|0,0.40%,1.10%,0,2.03G,273M,0|10,1|0,2.35k,81.9k,10,rs0,SEC,48:15.3
*0,*0,*374,*0,3,7|0,0.50%,1.20%,0,2.03G,281M,0|9,2|0,5.06k,148k,10,rs0,SEC,48:16.7
