usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,
16,7,0,77,0,10M,620k,216k,372k,0,0,4616,4855
16,7,1,77,0,11M,632k,177k,414k,0,0,5022,5501
17,7,0,77,0,10M,968k,181k,360k,0,0,4815,5163
17,7,1,75,0,10M,1676k,213k,371k,0,0,4925,5272
20,9,0,71,0,10M,2236k,184k,375k,0,0,5010,5299
19,13,0,68,0,11M,616k,201k,414k,0,0,4907,5059
16,8,0,76,0,10M,468k,177k,385k,0,0,4729,5082
17,6,0,77,0,11M,492k,158k,360k,0,0,5075,5745
15,7,2,76,0,8428k,4916k,72k,211k,0,0,4293,5123
17,6,2,76,0,10M,448k,202k,413k,0,0,5168,5660
16,5,0,79,0,11M,468k,219k,418k,0,0,5042,5457
13,4,2,80,0,8200k,3704k,241k,343k,0,0,4585,5156
16,6,1,77,0,9424k,3620k,181k,410k,0,0,5000,5337
14,6,4,75,0,9428k,2348k,213k,348k,0,0,4476,4768
11,5,0,84,0,10M,1632k,146k,377k,0,0,4354,4696
15,7,3,75,0,9600k,1028k,221k,377k,0,0,5130,5664
15,6,0,79,0,12M,292k,193k,405k,0,0,4881,5206
16,7,0,77,0,11M,436k,182k,401k,0,0,4841,5190
16,6,1,77,0,11M,544k,199k,379k,0,0,4878,5290
16,6,1,76,0,11M,760k,200k,383k,0,0,4763,4962
15,6,2,76,0,6076k,7388k,71k,156k,0,0,3861,4540
15,7,1,77,0,11M,656k,165k,407k,0,0,4786,4919
16,6,0,77,0,9724k,1416k,248k,398k,0,0,4927,5371
15,7,0,78,0,10M,596k,218k,421k,0,0,5178,5761
16,7,0,77,0,11M,744k,198k,338k,0,0,4938,5463
15,8,0,78,0,10M,752k,187k,416k,0,0,5166,5710
13,6,0,81,0,11M,492k,218k,377k,0,0,4901,5609
10,5,0,84,0,10M,1624k,150k,317k,0,0,3965,4668
15,7,1,77,0,11M,1176k,197k,381k,0,0,4776,5394
11,5,0,84,0,11M,696k,224k,390k,0,0,4449,4852
18,4,3,75,0,10M,1124k,266k,398k,0,0,5092,5437
15,6,3,76,0,9212k,2760k,207k,385k,0,0,4826,5198
17,6,0,77,0,10M,1200k,164k,370k,0,0,4767,5000
13,5,0,81,0,9688k,2352k,163k,330k,0,0,4329,4902
15,5,0,79,0,10M,660k,181k,407k,0,0,4699,5056
17,6,1,76,0,9588k,1828k,202k,398k,0,0,4965,5422
17,6,2,75,0,9596k,896k,268k,471k,0,0,5458,6174
16,7,1,76,0,9828k,2584k,248k,376k,0,0,5192,5866
15,5,1,78,0,10M,1664k,187k,387k,0,0,4652,4985
17,6,1,77,0,9484k,1932k,227k,388k,0,0,4796,5119
16,6,0,78,0,11M,628k,190k,401k,0,0,4998,5289
17,6,0,77,0,11M,796k,167k,351k,0,0,5098,5881
16,6,0,78,0,10M,740k,239k,392k,0,0,4932,5243
16,6,0,78,0,10M,868k,145k,390k,0,0,4832,5082
15,6,0,79,0,11M,496k,216k,415k,0,0,4833,5135
17,6,1,76,0,10M,972k,201k,414k,0,0,5154,5732
17,6,2,76,0,10M,624k,221k,396k,0,0,4874,5281
17,5,0,78,0,11M,608k,227k,435k,0,0,5056,5239
11,4,0,85,0,10M,416k,221k,396k,0,0,4400,5123
17,7,1,74,0,10M,648k,191k,395k,0,0,4938,5334
16,6,1,77,0,11M,3360k,88k,199k,0,0,4238,5017
17,7,0,76,0,10M,600k,198k,433k,0,0,5017,5459
17,6,2,75,0,11M,732k,249k,402k,0,0,4933,5211
15,6,1,78,0,11M,1952k,214k,412k,0,0,5131,5980
14,5,0,81,0,11M,716k,236k,411k,0,0,4493,4765
14,6,0,79,0,9880k,1224k,225k,424k,0,0,5084,5480
15,5,0,80,0,9952k,1032k,215k,374k,0,0,4668,5292
15,5,1,79,0,9832k,1556k,164k,399k,0,0,4644,5072
16,6,1,77,0,11M,708k,210k,380k,0,0,4998,5406
9,4,0,87,0,12M,480k,215k,418k,0,0,4200,4708
13,4,0,83,0,10M,440k,208k,442k,0,0,4688,5080
17,6,0,77,0,10M,664k,244k,436k,0,0,5232,5683
12,5,3,80,0,11M,1680k,159k,313k,0,0,4324,4760
17,5,2,75,0,8928k,7372k,76k,192k,0,0,4167,4629
17,6,0,78,0,8900k,2836k,273k,399k,0,0,4875,5280
15,5,2,78,0,10M,1696k,227k,491k,0,0,5050,5276
17,6,2,75,0,11M,860k,242k,423k,0,0,4839,5058
16,6,1,77,0,9068k,3864k,188k,370k,0,0,4976,5590
15,5,0,79,0,11M,1472k,236k,416k,0,0,4894,5386
16,7,0,77,0,11M,832k,193k,416k,0,0,5101,5370
16,7,1,77,0,11M,496k,181k,393k,0,0,4657,5129
17,6,0,77,0,10M,1232k,253k,407k,0,0,5199,5813
13,5,0,82,0,11M,920k,235k,453k,0,0,4734,5253
16,6,1,76,0,10M,1340k,220k,381k,0,0,5009,5555
16,7,1,76,0,10M,936k,283k,450k,0,0,5218,5736
16,6,1,77,0,11M,1100k,181k,458k,0,0,5109,5317
15,6,1,77,0,10M,1036k,224k,381k,0,0,4781,5204
16,6,0,78,0,11M,476k,251k,451k,0,0,5070,5395
14,6,1,78,0,10M,1152k,264k,392k,0,0,4883,5319
15,6,0,79,0,11M,1420k,199k,424k,0,0,4882,5254
12,3,1,83,0,11M,604k,170k,323k,0,0,3959,4660
15,7,0,77,0,11M,592k,233k,447k,0,0,5164,5682
10,4,0,86,0,11M,368k,180k,407k,0,0,4250,4818
17,6,0,77,0,10M,1756k,205k,382k,0,0,5333,6190
17,5,0,78,0,11M,344k,202k,439k,0,0,4960,5269
15,6,0,78,0,9084k,2180k,273k,408k,0,0,5371,5939
17,6,0,77,0,10M,1748k,323k,459k,0,0,5240,5684
14,7,0,79,0,12M,1024k,138k,368k,0,0,4704,4837
15,5,1,79,0,11M,1428k,211k,372k,0,0,4826,5280
16,6,0,77,0,9624k,2344k,108k,248k,0,0,4162,4691
17,6,0,77,0,11M,568k,197k,434k,0,0,5083,5419
17,5,0,77,0,9688k,1436k,268k,383k,0,0,5310,5985
17,6,0,78,0,12M,516k,209k,434k,0,0,4912,5276
14,5,1,79,0,11M,584k,217k,434k,0,0,4855,5223
17,6,0,77,0,11M,716k,252k,459k,0,0,5428,6113
13,6,1,81,0,10M,800k,267k,444k,0,0,4804,5122
14,6,0,80,0,10M,1600k,276k,480k,0,0,5251,5838
15,5,2,78,0,11M,912k,242k,381k,0,0,4858,5261
12,5,1,81,0,10M,672k,242k,421k,0,0,4884,5491
13,5,4,78,0,10M,2768k,162k,296k,0,0,3813,4509
12,5,3,80,0,11M,376k,181k,396k,0,0,4296,4480
14,5,1,80,0,11M,620k,204k,406k,0,0,5189,6138
15,6,0,79,0,10M,572k,289k,476k,0,0,5240,5723
17,5,1,76,0,10M,1560k,199k,355k,0,0,5066,5732
17,4,1,78,0,10M,4416k,100k,221k,0,0,3966,4627
15,6,0,79,0,11M,848k,181k,422k,0,0,5068,5500
16,6,1,77,0,12M,484k,274k,504k,0,0,5444,6018
17,7,0,77,0,11M,640k,243k,439k,0,0,6233,7381
17,7,0,76,0,12M,392k,229k,457k,0,0,4989,5372
12,6,1,81,0,9900k,712k,263k,463k,0,0,4985,5621
18,6,2,74,0,11M,912k,177k,333k,0,0,4840,5368
15,6,0,79,0,10M,3080k,85k,192k,0,0,3999,4637
17,7,2,74,0,10M,4944k,117k,231k,0,0,4813,6043
17,6,2,75,0,10M,832k,332k,415k,0,0,5140,5660
17,6,3,74,0,9200k,7092k,290k,353k,0,0,4843,5290
13,5,1,80,0,10M,1924k,169k,364k,0,0,4281,4840
15,6,0,79,0,12M,416k,207k,379k,0,0,4690,5135
18,6,0,76,0,11M,608k,240k,458k,0,0,5914,6936
16,7,0,77,0,10M,1204k,275k,474k,0,0,5433,6005
17,7,0,76,0,9792k,5696k,228k,408k,0,0,5283,5683
17,9,0,74,0,11M,524k,240k,479k,0,0,6018,7064
18,6,1,75,0,10M,800k,255k,493k,0,0,5168,6032
18,7,0,75,0,11M,1704k,242k,407k,0,0,4876,5311
19,6,0,75,0,11M,948k,249k,429k,0,0,5123,5675
16,6,4,74,0,11M,452k,194k,398k,0,0,4633,5147
17,6,3,74,0,11M,732k,211k,404k,0,0,5054,5674
16,5,1,78,0,12M,392k,212k,419k,0,0,4903,5532
17,7,3,73,0,10M,656k,203k,314k,0,0,4920,5765
20,6,3,72,0,11M,3348k,92k,255k,0,0,4347,5268
18,7,0,75,0,10M,588k,299k,514k,0,0,5751,6499
15,8,0,76,0,9944k,1764k,225k,342k,0,0,4524,4940
15,10,1,74,0,10M,948k,266k,424k,0,0,4967,5432
17,10,2,71,0,11M,1080k,245k,488k,0,0,6111,7180
18,6,0,76,0,12M,532k,213k,431k,0,0,5597,6397
16,6,0,78,0,11M,776k,248k,415k,0,0,4833,5008
18,6,1,76,0,11M,756k,266k,458k,0,0,5522,6255
18,6,0,76,0,11M,812k,239k,396k,0,0,5288,5688
13,6,0,81,0,11M,420k,231k,429k,0,0,5096,5581
18,6,0,76,0,11M,364k,180k,424k,0,0,4915,5268
19,5,1,75,0,13M,860k,264k,463k,0,0,5674,6223
18,6,2,74,0,11M,764k,261k,416k,0,0,5240,5882
14,5,1,81,0,11M,1188k,236k,444k,0,0,5116,5784
12,5,1,83,0,11M,320k,253k,502k,0,0,4639,5123
18,6,0,77,0,10M,772k,229k,389k,0,0,5109,5517
19,6,1,74,0,11M,1220k,216k,356k,0,0,5058,5642
18,6,5,71,0,10M,3212k,80k,199k,0,0,4600,5611
17,6,0,76,0,10M,504k,267k,481k,0,0,5205,5877
16,6,1,77,0,10M,2144k,322k,452k,0,0,5505,6075
18,5,0,76,0,10M,4972k,305k,470k,0,0,5558,6058
17,6,2,74,0,11M,412k,273k,477k,0,0,5203,5544
17,7,0,75,0,11M,760k,298k,520k,0,0,5392,5625
16,7,3,75,0,10M,2500k,299k,445k,0,0,5286,5910
17,7,0,76,0,11M,468k,241k,476k,0,0,5319,5664
18,9,0,72,0,11M,568k,244k,398k,0,0,5053,5435
16,8,2,74,0,9864k,4588k,106k,209k,0,0,4099,4964
19,7,0,74,0,13M,728k,233k,468k,0,0,5395,5792
18,7,0,75,0,11M,1856k,288k,423k,0,0,5220,5686
15,6,0,79,0,11M,1060k,261k,440k,0,0,5063,5583
17,7,1,75,0,10M,2076k,270k,439k,0,0,5283,5714
19,7,0,74,0,12M,472k,292k,475k,0,0,5499,5850
16,6,1,77,0,12M,1136k,302k,495k,0,0,5156,5806
17,5,0,78,0,11M,864k,264k,484k,0,0,5100,5540
19,6,0,75,0,11M,844k,197k,392k,0,0,4973,5979
20,6,1,73,0,11M,424k,244k,417k,0,0,5177,5783
16,7,0,77,0,12M,956k,192k,424k,0,0,4785,5227
19,7,1,73,0,11M,692k,323k,507k,0,0,5669,6167
14,6,0,80,0,11M,936k,184k,356k,0,0,4577,5169
15,4,1,80,0,10M,4268k,141k,243k,0,0,4137,4983
18,7,1,75,0,12M,860k,274k,489k,0,0,5765,6538
14,7,0,79,0,11M,2736k,224k,421k,0,0,4934,5821
16,7,1,77,0,11M,2136k,138k,295k,0,0,4612,5241
16,7,2,74,0,11M,2620k,213k,393k,0,0,5229,5948
11,6,3,81,0,10M,3312k,284k,428k,0,0,4687,5559
19,7,3,72,0,11M,616k,292k,471k,0,0,5453,5993
17,7,0,76,0,11M,1980k,266k,433k,0,0,5090,5815
12,6,1,82,0,11M,1960k,259k,453k,0,0,4836,5856
