ns,total,read,write,time
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:17Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:17Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:17Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:17Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:17Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:17Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:17Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:17Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:17Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:18Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:18Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:18Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:18Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:18Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:18Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:18Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:18Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:18Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:19Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:19Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:19Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:19Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:19Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:19Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:19Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:19Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:19Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:20Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:20Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:20Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:20Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:20Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:20Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:20Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:20Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:20Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:21Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:21Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:21Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:21Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:21Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:21Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:21Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:21Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:21Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:22Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:22Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:22Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:22Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:22Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:22Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:22Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:22Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:22Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:23Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:23Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:23Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:23Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:23Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:23Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:23Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:23Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:23Z
