insert,query,update,delete,getmore,command,dirty,used,flushes,vsize,res,qrw,arw,net_in,net_out,conn,set,repl,time
*0,*0,*0,*0,0,5|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.08k,40.2k,8,rs0,SEC,47:33.0
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,499b,38.2k,8,rs0,SEC,47:34.0
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,47:35.0
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,500b,38.3k,8,rs0,SEC,47:36.0
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.4k,8,rs0,SEC,47:37.0
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,500b,38.3k,8,rs0,SEC,47:38.0
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,47:39.0
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,499b,38.2k,8,rs0,SEC,47:40.0
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,47:41.0
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,616b,39.7k,8,rs0,SEC,47:42.0
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.4k,8,rs0,SEC,47:43.0
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,554b,39.0k,8,rs0,SEC,47:44.0
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,47:45.0
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,499b,38.2k,8,rs0,SEC,47:46.0
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,47:47.0
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,499b,38.2k,8,rs0,SEC,47:48.0
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,47:49.0
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,500b,38.3k,8,rs0,SEC,47:50.0
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,47:51.0
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,615b,39.6k,8,rs0,SEC,47:52.0
*0,*0,*0,*0,0,5|0,0.00%,0.50%,1,1.91G,187M,0|0,1|0,1.08k,40.2k,8,rs0,SEC,47:53.0
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,500b,38.3k,8,rs0,SEC,47:54.0
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.4k,8,rs0,SEC,47:55.0
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,500b,38.3k,8,rs0,SEC,47:56.0
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,47:57.0
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,499b,38.2k,8,rs0,SEC,47:58.0
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,47:59.0
*0,*0,*0,*0,0,2|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,500b,38.3k,8,rs0,SEC,48:00.0
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.5k,8,rs0,SEC,48:01.0
*0,*0,*0,*0,0,4|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,616b,39.7k,8,rs0,SEC,48:02.0
*0,*0,*0,*0,0,3|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,1.02k,39.4k,8,rs0,SEC,48:03.0
*0,*0,*0,*0,0,1|0,0.00%,0.50%,0,1.91G,187M,0|0,1|0,499b,38.2k,8,rs0,SEC,48:04.0
*0,*0,*108,*0,0,3|0,0.00%,0.50%,0,1.92G,189M,0|5,1|0,844b,32.7k,8,rs0,SEC,48:05.2
*0,*0,*90,*0,0,1|0,0.10%,0.60%,0,1.93G,196M,0|10,1|0,274b,21.0k,8,rs0,SEC,48:07.0
*0,*0,*571,*0,0,11|0,0.10%,0.60%,0,1.93G,203M,0|9,1|0,2.89k,112k,8,rs0,SEC,48:07.4
*0,*0,*159,*0,0,3|0,0.10%,0.70%,0,1.94G,206M,0|1,1|0,775b,59.3k,8,rs0,SEC,48:08.0
*0,*0,*108,*0,0,2|0,0.10%,0.70%,0,1.94G,214M,0|4,1|0,571b,22.1k,8,rs0,SEC,48:09.8
*0,*0,*228,*0,0,1|0,0.20%,0.80%,0,1.95G,222M,0|7,1|0,488b,37.4k,8,rs0,SEC,48:10.8
*0,*0,*121,*0,0,2|0,0.20%,0.80%,0,1.96G,230M,0|11,1|0,640b,24.8k,8,rs0,SEC,48:12.4
*0,*0,*197,*0,0,2|0,0.30%,0.90%,0,1.97G,244M,0|13,1|0,496b,25.0k,8,rs0,SEC,48:14.1
*0,*0,*182,*0,0,3|0,0.30%,1.00%,0,1.98G,256M,0|10,2|0,843b,28.7k,8,rs0,SEC,48:15.6
*0,*0,*194,*0,0,2|0,0.40%,1.10%,0,1.99G,269M,0|14,1|0,588b,22.8k,8,rs0,SEC,48:17.4
*0,*0,*272,*0,0,2|0,0.50%,1.10%,0,2.00G,275M,0|11,1|0,718b,24.8k,8,rs0,SEC,48:19.1
*0,*0,*542,*0,0,4|0,0.50%,1.20%,0,2.02G,294M,0|9,1|0,1.20k,46.4k,8,rs0,SEC,48:20.0
*0,*0,*153,*0,0,1|0,0.60%,1.30%,0,2.03G,303M,0|15,2|0,291b,22.3k,8,rs0,SEC,48:21.7
*0,*0,*274,*0,0,3|0,0.60%,1.40%,0,2.04G,313M,0|11,1|0,800b,26.4k,8,rs0,SEC,48:23.3
*0,*0,*345,*0,0,5|0,0.70%,1.50%,0,2.05G,328M,0|4,2|0,1.18k,38.9k,8,rs0,SEC,48:24.4
*0,*0,*139,*0,0,0|0,0.80%,1.60%,0,2.06G,338M,0|15,1|0,220b,16.8k,8,rs0,SEC,48:26.7
*0,*0,*399,*0,0,3|0,0.90%,1.70%,0,2.08G,354M,0|6,1|0,764b,26.0k,8,rs0,SEC,48:28.4
