ns,total,read,write,time
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:12Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:12Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:12Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:12Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:12Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:12Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:12Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:12Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:12Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:13Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:13Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:13Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:13Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:13Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:13Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:13Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:13Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:13Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:14Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:14Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:14Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:14Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:14Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:14Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:14Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:14Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:14Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:15Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:15Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:15Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:15Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:15Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:15Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:15Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:15Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:15Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:16Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:16Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:16Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:16Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:16Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:16Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:16Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:16Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:16Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:17Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:17Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:17Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:17Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:17Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:17Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:17Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:17Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:17Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:18Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:18Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:18Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:18Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:18Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:18Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:18Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:18Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:18Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:19Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:19Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:19Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:19Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:19Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:19Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:19Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:19Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:19Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:20Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:20Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:20Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:20Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:20Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:20Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:20Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:20Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:20Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:21Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:21Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:21Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:21Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:21Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:21Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:21Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:21Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:21Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:22Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:22Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:22Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:22Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:22Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:22Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:22Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:22Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:22Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:23Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:23Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:23Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:23Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:23Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:23Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:23Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:23Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:23Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:24Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:24Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:24Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:24Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:24Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:24Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:24Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:24Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:24Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:25Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:25Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:25Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:25Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:25Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:25Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:25Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:25Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:25Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:26Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:26Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:26Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:26Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:26Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:26Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:26Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:26Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:26Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:27Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:27Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:27Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:27Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:27Z
local.oplog.rs,0ms,0ms,0ms,2019-11-27T12:47:27Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:27Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:27Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:27Z
local.oplog.rs,1ms,1ms,0ms,2019-11-27T12:47:28Z
admin.system.keys,0ms,0ms,0ms,2019-11-27T12:47:28Z
admin.system.roles,0ms,0ms,0ms,2019-11-27T12:47:28Z
admin.system.version,0ms,0ms,0ms,2019-11-27T12:47:28Z
config.system.sessions,0ms,0ms,0ms,2019-11-27T12:47:28Z
config.transactions,0ms,0ms,0ms,2019-11-27T12:47:28Z
local.replset.election,0ms,0ms,0ms,2019-11-27T12:47:28Z
local.system.replset,0ms,0ms,0ms,2019-11-27T12:47:28Z
ycsb.usertable,0ms,0ms,0ms,2019-11-27T12:47:28Z
