usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,Start,repl8,repl9,rticket,wticket,ocursors,aconn,pf,memo,dd,bytescurrentused,readq,writeq,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time,,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb,,yread,ytot,ywrite,srread,srtot,srwrite,ssread,sstot,sswrite,elread,eltot,elwrite,opread,optot,opwrite,time
0,0,100,0,0,0,0,196B,130B,0,0,230,389,12:48:01.503945709,0,0,1,0,1,804,0,216,63013107,102660577,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,499b,38.5k,14,rs0,PRI,47:48.3,1,0,1,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:37Z,10,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,499b,38.1k,10,rs0,SEC,47:56.1,1,0,1,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:27Z
0,0,100,0,0,0,56k,592B,1742B,0,0,545,823,12:48:02.441003269,0,0,1,0,1,804,0,216,63013107,102660577,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,1.02k,39.7k,14,rs0,PRI,47:49.3,1,0,3,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:38Z,11,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,1.08k,40.1k,10,rs0,SEC,47:57.1,1,0,5,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:28Z
0,0,100,0,0,0,0,0,0,0,0,297,505,12:48:03.368906945,0,0,1,0,1,804,0,216,63013107,102660577,0,0,12,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0,1.96G,216M,5.01k,41.5k,14,rs0,PRI,47:50.3,1,0,6,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:39Z,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,499b,38.1k,10,rs0,SEC,47:58.1,1,0,1,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:29Z
0,0,100,0,0,0,28k,0,0,0,0,319,546,12:48:04.295009117,0,0,1,0,1,787,0,227,71522120,119594606,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,1.02k,39.7k,14,rs0,PRI,47:51.3,1,0,4,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:40Z,13,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,1.02k,39.4k,10,rs0,SEC,47:59.1,1,0,4,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:30Z
0,0,100,0,0,0,32k,108B,54B,0,0,489,851,12:48:05.349798922,1000,1000,6,12,1,787,0,247,80937592,138395094,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,499b,38.4k,14,rs0,PRI,47:52.3,1,0,1,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:41Z,14,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0,1.96G,190M,4.07k,40.8k,10,rs0,SEC,48:00.1,1,0,5,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:31Z
0,0,100,0,0,0,0,0,0,0,0,344,559,12:48:06.508645123,2000,2000,6,12,1,787,0,260,89169008,156100806,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,11.2k,435k,14,rs0,PRI,47:53.3,1,0,73,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:42Z,15,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,1.02k,39.4k,10,rs0,SEC,48:01.1,1,0,4,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:32Z
0,0,100,0,0,0,64k,914B,576B,0,0,298,469,12:48:07.714434285,2000,2000,10,10,1,787,0,279,98283110,172749491,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,10.6k,432k,14,rs0,PRI,47:54.3,1,0,69,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:43Z,16,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,499b,38.1k,10,rs0,SEC,48:02.1,1,0,1,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:33Z
0,0,100,0,0,0,0,0,0,0,0,319,538,12:48:08.779180337,2000,2000,6,11,1,787,0,291,105929121,186577109,0,0,17,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0,1.96G,216M,13.2k,466k,14,rs0,PRI,47:55.3,1,0,73,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:44Z,17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,1.02k,39.4k,10,rs0,SEC,48:03.1,1,0,3,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:34Z
0,0,100,0,0,0,28k,0,0,0,0,254,422,12:48:09.893763508,3000,4000,3,10,1,787,0,304,113757220,200190464,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,10.4k,464k,14,rs0,PRI,47:56.3,1,0,69,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:45Z,18,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.96G,190M,500b,38.2k,10,rs0,SEC,48:04.1,1,0,2,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:35Z
0,0,100,0,0,0,0,250B,184B,0,0,374,611,12:48:11.089276596,3000,4000,4,10,1,787,0,319,121708543,215289295,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.96G,216M,11.4k,467k,15,rs0,PRI,47:57.3,1,0,74,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2019-11-27T12:47:46Z,19,0.0,0.0,164.0,0.0,25.0,0.0,0.6,0,1.96G,195M,30.6k,104k,10,rs0,SEC,48:05.4,1,0,25,0,0,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-27T12:47:36Z
