insert,query,update,delete,getmore,command,dirty,used,flushes,vsize,res,qrw,arw,net_in,net_out,conn,set,repl,time
*0,120,271,*0,2,66|0,0.60%,1.80%,0,2.11G,381M,0|0,3|14,159k,649k,31,rs0,PRI,48:17.3
*0,116,252,*0,6,62|0,0.70%,1.90%,0,2.12G,391M,0|0,4|13,154k,615k,31,rs0,PRI,48:18.3
*0,135,283,*0,3,63|0,0.70%,2.00%,0,2.13G,402M,0|0,6|11,168k,657k,31,rs0,PRI,48:19.3
*0,127,283,*0,4,66|0,0.80%,2.10%,0,2.14G,413M,0|0,9|8,168k,628k,31,rs0,PRI,48:20.3
*0,122,292,*0,3,65|0,0.80%,2.10%,0,2.15G,423M,0|0,7|10,167k,649k,31,rs0,PRI,48:21.3
*0,141,317,*0,2,59|0,0.90%,2.20%,0,2.16G,436M,0|0,8|9,184k,655k,31,rs0,PRI,48:22.3
*0,105,253,*0,6,53|0,0.90%,2.30%,0,2.17G,445M,0|0,5|12,146k,640k,31,rs0,PRI,48:23.3
*0,139,312,*0,3,45|0,0.90%,2.40%,0,2.18G,457M,0|0,5|12,179k,493k,31,rs0,PRI,48:24.3
*0,129,279,*0,1,48|0,1.00%,2.40%,0,2.19G,467M,0|0,7|10,160k,542k,31,rs0,PRI,48:25.3
*0,121,306,*0,3,53|0,1.00%,2.50%,0,2.20G,477M,0|0,4|13,172k,623k,31,rs0,PRI,48:26.3
*0,137,322,*0,2,48|0,1.10%,2.60%,0,2.21G,489M,0|0,13|4,182k,483k,31,rs0,PRI,48:27.3
*0,138,305,*0,1,51|0,1.10%,2.70%,0,2.22G,499M,0|0,8|9,175k,598k,31,rs0,PRI,48:28.3
*0,111,278,*0,5,74|0,1.20%,2.70%,0,2.23G,510M,0|0,9|8,164k,791k,31,rs0,PRI,48:29.3
*0,99,249,*0,4,68|0,1.20%,2.80%,0,2.24G,518M,0|0,7|10,144k,645k,31,rs0,PRI,48:30.3
*0,110,250,*0,2,69|0,1.20%,2.90%,0,2.25G,527M,0|0,5|12,148k,646k,31,rs0,PRI,48:31.3
*0,119,291,*0,3,67|0,1.30%,2.90%,0,2.26G,537M,0|0,6|11,167k,689k,31,rs0,PRI,48:32.3
*0,114,262,*0,4,75|0,1.30%,3.00%,0,2.27G,545M,0|0,4|13,155k,714k,31,rs0,PRI,48:33.3
*0,124,279,*0,1,67|0,1.40%,3.00%,0,2.28G,556M,0|0,7|10,163k,626k,31,rs0,PRI,48:34.3
*0,133,283,*0,4,70|0,1.40%,3.10%,0,2.31G,566M,0|0,5|12,170k,786k,31,rs0,PRI,48:35.3
*0,133,322,*0,5,70|0,1.50%,3.20%,0,2.31G,576M,0|0,7|10,185k,689k,31,rs0,PRI,48:36.3
*0,116,281,*0,2,69|0,1.50%,3.30%,0,2.31G,585M,0|1,5|12,161k,701k,31,rs0,PRI,48:37.3
*0,118,276,*0,4,72|0,1.50%,3.30%,1,2.32G,595M,0|0,5|12,164k,677k,31,rs0,PRI,48:38.3
*0,141,306,*0,2,69|0,0.90%,3.40%,0,2.35G,605M,0|0,10|7,180k,700k,31,rs0,PRI,48:39.3
*0,118,268,*0,2,64|0,0.30%,3.50%,0,2.35G,618M,0|0,4|13,155k,697k,31,rs0,PRI,48:40.3
*0,110,259,*0,3,66|0,0.30%,3.50%,0,2.35G,626M,0|0,4|13,152k,600k,31,rs0,PRI,48:41.3
*0,116,235,*0,1,70|0,0.40%,3.60%,0,2.35G,634M,0|0,10|7,140k,619k,31,rs0,PRI,48:42.3
*0,126,236,*0,2,63|0,0.40%,3.60%,0,2.36G,642M,0|16,1|0,150k,595k,31,rs0,PRI,48:43.3
*0,59,125,*0,3,70|0,0.40%,3.60%,0,2.37G,645M,0|0,3|14,83.3k,674k,31,rs0,PRI,48:44.3
*0,125,261,*0,1,57|0,0.50%,3.70%,0,2.38G,655M,0|0,5|12,152k,588k,31,rs0,PRI,48:45.3
*0,148,387,*0,3,71|0,0.50%,3.80%,0,2.39G,666M,0|0,5|12,217k,759k,31,rs0,PRI,48:46.3
*0,158,360,*0,2,63|0,0.60%,3.90%,0,2.40G,677M,0|0,8|9,207k,703k,31,rs0,PRI,48:47.3
*0,132,257,*0,1,56|0,0.60%,3.90%,0,2.41G,685M,0|0,6|11,153k,632k,31,rs0,PRI,48:48.3
*0,135,316,*0,0,66|0,0.70%,4.00%,0,2.41G,694M,0|0,7|10,182k,581k,31,rs0,PRI,48:49.3
*0,139,314,*0,2,63|0,0.70%,4.10%,0,2.42G,705M,0|0,6|11,181k,771k,31,rs0,PRI,48:50.3
*0,130,257,*0,2,70|0,0.80%,4.10%,0,2.43G,714M,0|0,8|9,156k,673k,31,rs0,PRI,48:51.3
*0,122,283,*0,0,63|0,0.80%,4.20%,0,2.44G,722M,0|0,10|7,163k,617k,32,rs0,PRI,48:52.3
*0,142,345,*0,4,71|0,0.90%,4.30%,0,2.45G,733M,0|0,4|13,197k,709k,31,rs0,PRI,48:53.3
*0,126,321,*0,1,62|0,0.90%,4.30%,0,2.46G,742M,0|0,9|8,180k,721k,31,rs0,PRI,48:54.3
*0,105,289,*0,0,58|0,1.00%,4.40%,0,2.47G,750M,0|0,6|11,158k,609k,31,rs0,PRI,48:55.3
*0,113,277,*0,0,54|0,1.00%,4.40%,0,2.48G,758M,0|0,7|10,154k,571k,31,rs0,PRI,48:56.3
*0,94,221,*0,2,72|0,1.00%,4.50%,0,2.48G,765M,0|14,2|1,131k,655k,31,rs0,PRI,48:57.3
*0,59,123,*0,3,69|0,1.10%,4.50%,0,2.49G,769M,0|0,8|9,84.3k,670k,31,rs0,PRI,48:58.3
*0,149,283,*0,1,72|0,1.10%,4.60%,0,2.50G,778M,0|0,3|14,174k,646k,31,rs0,PRI,48:59.3
*0,135,342,*0,1,65|0,1.20%,4.70%,0,2.51G,788M,0|0,5|12,188k,632k,31,rs0,PRI,49:00.3
